Geographic area name,,,2012 NAICS code,Meaning of 2012 NAICS code,,,Meaning of Type of operation or tax status code,,Year,Number of establishments,"Value of sales, shipments, receipts, revenue, or business done ($1,000)","Annual payroll ($1,000)","First-quarter payroll ($1,000)",Number of employees,Number of nonemployer establishments,"Nonemployer value of sales, shipments, receipts, revenue, or business done ($1,000)"
Delaware,,,54,"Professional, scientific, and technical services",,,All establishments,,2012,"2,543",D,D,D,k,"8,070","448,536"
Delaware,,,54,"Professional, scientific, and technical services",,,Establishments subject to federal income tax,,2012,"2,536",D,D,D,k,N,N
Delaware,,,54,"Professional, scientific, and technical services",,,Establishments exempt from federal income tax,,2012,7,D,D,D,e,N,N
Delaware,,,55,Management of companies and enterprises,,,Total,,2012,"1,009",D,D,D,j,N,N
Delaware,,,56,Administrative and support and waste management and remediation services,,,Total,,2012,"1,369","1,631,737","723,078","178,581","22,885","4,206","119,760"
Delaware,,,61,Educational services,,,All establishments,,2012,190,D,D,D,g,"1,577","25,962"
Delaware,,,61,Educational services,,,Establishments subject to federal income tax,,2012,156,"182,642","46,982","11,821","1,379",N,N
Delaware,,,61,Educational services,,,Establishments exempt from federal income tax,,2012,34,D,D,D,e,N,N
Delaware,,,62,Health care and social assistance,,,All establishments,,2012,"2,524","7,003,251","2,995,864","682,671","61,897","4,276","143,108"
Delaware,,,62,Health care and social assistance,,,Establishments subject to federal income tax,,2012,"1,964","3,173,730","1,434,845","329,654","30,400",N,N
Delaware,,,62,Health care and social assistance,,,Establishments exempt from federal income tax,,2012,560,"3,829,521","1,561,019","353,017","31,497",N,N
Delaware,,,71,"Arts, entertainment, and recreation",,,All establishments,,2012,409,"650,636","207,807","45,728","8,102","3,329","95,730"
Delaware,,,71,"Arts, entertainment, and recreation",,,Establishments subject to federal income tax,,2012,302,"490,480","148,552","32,332","5,087",N,N
Delaware,,,71,"Arts, entertainment, and recreation",,,Establishments exempt from federal income tax,,2012,107,"160,156","59,255","13,396","3,015",N,N
Delaware,,,72,Accommodation and food services,,,Total,,2012,"1,987","2,148,437","566,694","129,586","35,609",725,"49,084"
Delaware,,,81,Other services (except public administration),,,All establishments,,2012,"1,513","974,725","290,053","69,834","9,841","7,324","203,952"
Delaware,,,81,Other services (except public administration),,,Establishments subject to federal income tax,,2012,"1,190","617,209","207,100","50,138","7,668",N,N
Delaware,,,81,Other services (except public administration),,,Establishments exempt from federal income tax,,2012,323,"357,516","82,953","19,696","2,173",N,N
District of Columbia,,,22,Utilities,,,Total,,2012,47,Q,D,D,g,44,"1,979"
District of Columbia,,,23,Construction,,,Total,,2012,391,"2,651,600","477,822","110,318","9,014","1,917","98,391"
District of Columbia,,,42,Wholesale trade,,,Wholesale Trade,,2012,430,"4,102,757","340,951","79,329","4,259",307,"26,631"
District of Columbia,,,42,Wholesale trade,,,"Merchant wholesalers, except manufacturers' sales branches and offices",,2012,335,"2,591,868","260,617","58,717","3,415",N,N
District of Columbia,,,42,Wholesale trade,,,Manufacturers' sales branches and offices,,2012,81,"1,377,744","75,277","19,508",769,N,N
District of Columbia,,,44-45,Retail trade,,,Total,,2012,"1,710","4,439,933","525,151","127,534","19,780","1,989","69,597"
District of Columbia,,,48-49 (104),Transportation and warehousing (104),,,Total,,2012,193,"1,967,947","341,866","87,423","8,483","2,146","58,614"
District of Columbia,,,51,Information,,,Total,,2012,741,N,"2,215,115","588,473","22,144","1,508","61,899"
District of Columbia,,,52,Finance and insurance,,,Total,,2012,999,N,"2,665,854","918,364","18,080",920,"86,425"
District of Columbia,,,53,Real estate and rental and leasing,,,Total,,2012,"1,112","3,213,899","673,722","182,439","10,103","4,625","618,110"
District of Columbia,,,54,"Professional, scientific, and technical services",,,All establishments,,2012,"5,061","31,866,325","11,196,369","2,737,882","97,555","14,061","847,716"
District of Columbia,,,54,"Professional, scientific, and technical services",,,Establishments subject to federal income tax,,2012,"4,831","29,796,165","10,549,204","2,573,733","89,224",N,N
District of Columbia,,,54,"Professional, scientific, and technical services",,,Establishments exempt from federal income tax,,2012,230,"2,070,160","647,165","164,149","8,331",N,N
District of Columbia,,,55,Management of companies and enterprises,,,Total,,2012,192,"457,028","987,579","343,800","9,489",N,N
District of Columbia,,,56,Administrative and support and waste management and remediation services,,,Total,,2012,"1,079","2,700,311","1,181,167","288,796","28,946","3,444","75,612"
District of Columbia,,,61,Educational services,,,All establishments,,2012,338,"903,400","231,401","56,831","5,311","2,412","40,575"
District of Columbia,,,61,Educational services,,,Establishments subject to federal income tax,,2012,149,"212,223","69,006","16,867","1,788",N,N
District of Columbia,,,61,Educational services,,,Establishments exempt from federal income tax,,2012,189,"691,177","162,395","39,964","3,523",N,N
District of Columbia,,,62,Health care and social assistance,,,All establishments,,2012,"2,065","8,963,981","3,596,538","879,893","67,742","4,654","165,386"
District of Columbia,,,62,Health care and social assistance,,,Establishments subject to federal income tax,,2012,"1,353","2,870,909","1,203,358","284,271","24,356",N,N
District of Columbia,,,62,Health care and social assistance,,,Establishments exempt from federal income tax,,2012,712,"6,093,072","2,393,180","595,622","43,386",N,N
District of Columbia,,,71,"Arts, entertainment, and recreation",,,All establishments,,2012,301,"1,021,366","412,037","78,724","7,510","4,256","105,476"
District of Columbia,,,71,"Arts, entertainment, and recreation",,,Establishments subject to federal income tax,,2012,210,"778,257","327,324","57,652","5,103",N,N
District of Columbia,,,71,"Arts, entertainment, and recreation",,,Establishments exempt from federal income tax,,2012,91,"243,109","84,713","21,072","2,407",N,N
District of Columbia,,,72,Accommodation and food services,,,Total,,2012,"2,371","5,101,602","1,504,798","349,965","60,370",913,"28,934"
District of Columbia,,,81,Other services (except public administration),,,All establishments,,2012,"3,357","19,773,475","4,238,635","1,089,602","58,982","7,215","158,649"
District of Columbia,,,81,Other services (except public administration),,,Establishments subject to federal income tax,,2012,940,"633,284","194,141","47,616","7,719",N,N
District of Columbia,,,81,Other services (except public administration),,,Establishments exempt from federal income tax,,2012,"2,417","19,140,191","4,044,494","1,041,986","51,263",N,N
Florida,,,21,"Mining, quarrying, and oil and gas extraction",,,Total,,2012,194,"2,888,089","234,559",N,"4,081","1,159","58,404"
Florida,,,22,Utilities,,,Total,,2012,699,Q,"2,356,891","735,476","27,343","1,551","65,759"
Florida,,,23,Construction,,,Total,,2012,"39,544","66,594,364","11,640,295","2,729,310","294,737","153,180","7,213,211"
Florida,,,42,Wholesale trade,,,Wholesale Trade,,2012,"31,657","342,238,161","15,394,391","3,748,582","296,207","38,022","3,588,302"
Florida,,,42,Wholesale trade,,,"Merchant wholesalers, except manufacturers' sales branches and offices",,2012,"27,109","252,626,608","12,867,603","3,123,726","252,418",N,N
Florida,,,42,Wholesale trade,,,Manufacturers' sales branches and offices,,2012,868,"53,630,541","1,701,131","439,700","25,122",N,N
Florida,,,44-45,Retail trade,,,Total,,2012,"71,189","273,867,145","24,033,542","6,005,100","947,877","130,772","5,753,618"
Florida,,,48-49 (104),Transportation and warehousing (104),,,Total,,2012,"13,280","49,158,988","8,957,718","2,285,466","209,381","91,021","4,718,252"
Florida,,,51,Information,,,Total,,2012,"8,030",N,"10,280,002","2,690,568","152,775","22,761","906,660"
Florida,,,52,Finance and insurance,,,Total,,2012,"30,653",N,"22,758,385","6,336,316","338,872","58,818","3,990,148"
Florida,,,53,Real estate and rental and leasing,,,Total,,2012,"29,845","30,560,143","5,337,407","1,310,356","139,955","202,769","15,150,899"
Florida,,,54,"Professional, scientific, and technical services",,,All establishments,,2012,"70,785","70,175,610","27,100,369","6,408,083","440,858","220,494","10,079,960"
Florida,,,54,"Professional, scientific, and technical services",,,Establishments subject to federal income tax,,2012,"70,617","69,653,449","26,855,362","6,348,239","436,764",N,N
Florida,,,54,"Professional, scientific, and technical services",,,Establishments exempt from federal income tax,,2012,168,"522,161","245,007","59,844","4,094",N,N
Florida,,,55,Management of companies and enterprises,,,Total,,2012,"2,699","3,732,556","10,644,839","2,857,306","131,305",N,N
Florida,,,56,Administrative and support and waste management and remediation services,,,Total,,2012,"33,177","71,013,189","44,420,277","11,037,529","1,212,420","209,467","4,269,199"
Florida,,,61,Educational services,,,All establishments,,2012,"4,661","3,477,883","1,051,283","259,093","38,075","37,681","569,117"
Florida,,,61,Educational services,,,Establishments subject to federal income tax,,2012,"4,210","3,180,457","952,801","234,868","34,037",N,N
Florida,,,61,Educational services,,,Establishments exempt from federal income tax,,2012,451,"297,426","98,482","24,225","4,038",N,N
Florida,,,62,Health care and social assistance,,,All establishments,,2012,"56,659","124,061,425","44,435,578","10,704,351","991,254","154,971","4,767,812"
Florida,,,62,Health care and social assistance,,,Establishments subject to federal income tax,,2012,"51,567","76,785,850","27,914,389","6,623,553","614,004",N,N
Florida,,,62,Health care and social assistance,,,Establishments exempt from federal income tax,,2012,"5,092","47,275,575","16,521,189","4,080,798","377,250",N,N
Florida,,,71,"Arts, entertainment, and recreation",,,All establishments,,2012,"7,562","16,452,987","4,904,355","1,240,409","169,796","76,826","2,176,583"
Florida,,,71,"Arts, entertainment, and recreation",,,Establishments subject to federal income tax,,2012,"6,594","14,211,979","4,120,170","1,031,872","136,273",N,N
Florida,,,71,"Arts, entertainment, and recreation",,,Establishments exempt from federal income tax,,2012,968,"2,241,008","784,185","208,537","33,523",N,N
Florida,,,72,Accommodation and food services,,,Total,,2012,"37,118","49,817,925","13,598,150","3,490,171","786,082","28,204","1,630,003"
Florida,,,81,Other services (except public administration),,,All establishments,,2012,"34,843","20,798,902","5,414,501","1,383,193","195,176","312,109","8,000,115"
Florida,,,81,Other services (except public administration),,,Establishments subject to federal income tax,,2012,"27,843","12,202,468","3,616,359","919,113","145,010",N,N
Florida,,,81,Other services (except public administration),,,Establishments exempt from federal income tax,,2012,"7,000","8,596,434","1,798,142","464,080","50,166",N,N
Georgia,,,21,"Mining, quarrying, and oil and gas extraction",,,Total,,2012,179,"1,613,079","281,230",N,"5,444",181,"10,687"
Georgia,,,22,Utilities,,,Total,,2012,599,Q,"1,991,441","646,962","22,615",584,"23,174"
Georgia,,,23,Construction,,,Total,,2012,"13,795","36,703,596","6,378,511","1,529,232","144,980","89,318","4,632,779"
Georgia,,,42,Wholesale trade,,,Wholesale Trade,,2012,"13,151","246,066,910","11,191,115","2,805,923","184,561","12,679","1,023,662"
Georgia,,,42,Wholesale trade,,,"Merchant wholesalers, except manufacturers' sales branches and offices",,2012,"10,637","143,645,290","8,476,276","2,108,360","150,168",N,N
Georgia,,,42,Wholesale trade,,,Manufacturers' sales branches and offices,,2012,694,"80,146,163","2,123,010","575,258","24,587",N,N
Georgia,,,44-45,Retail trade,,,Total,,2012,"33,426","119,801,495","10,290,058","2,545,105","433,840","59,865","2,318,763"
Georgia,,,48-49 (104),Transportation and warehousing (104),,,Total,,2012,"5,972","26,825,113","6,840,313","1,755,435","154,248","37,351","2,386,595"
Georgia,,,51,Information,,,Total,,2012,"4,155",N,"9,197,463","2,556,681","123,145","10,445","307,600"
Georgia,,,52,Finance and insurance,,,Total,,2012,"14,434",N,"12,271,645","3,734,024","164,422","21,759","1,331,346"
Georgia,,,53,Real estate and rental and leasing,,,Total,,2012,"10,484","14,232,417","2,703,749","671,309","55,551","68,534","5,489,855"
Georgia,,,54,"Professional, scientific, and technical services",,,All establishments,,2012,"28,112",D,D,D,m,"97,679","3,911,584"
Georgia,,,54,"Professional, scientific, and technical services",,,Establishments subject to federal income tax,,2012,"28,018","41,358,992","15,587,695","3,804,112","239,289",N,N
Georgia,,,54,"Professional, scientific, and technical services",,,Establishments exempt from federal income tax,,2012,94,D,D,D,g,N,N
Georgia,,,55,Management of companies and enterprises,,,Total,,2012,"1,809","2,183,921","10,745,263","3,045,721","114,592",N,N
Georgia,,,56,Administrative and support and waste management and remediation services,,,Total,,2012,"11,678","21,727,485","9,757,131","2,383,795","328,304","92,922","1,719,157"
Georgia,,,61,Educational services,,,All establishments,,2012,"2,064","1,182,523","370,501","87,436","14,080","20,131","255,875"
Georgia,,,61,Educational services,,,Establishments subject to federal income tax,,2012,"1,778","1,013,819","320,280","75,289","12,287",N,N
Georgia,,,61,Educational services,,,Establishments exempt from federal income tax,,2012,286,"168,704","50,221","12,147","1,793",N,N
Georgia,,,62,Health care and social assistance,,,All establishments,,2012,"22,734","51,800,643","19,515,226","4,643,204","448,460","65,807","1,662,275"
Georgia,,,62,Health care and social assistance,,,Establishments subject to federal income tax,,2012,"20,166","28,196,233","11,171,435","2,597,633","256,945",N,N
Georgia,,,62,Health care and social assistance,,,Establishments exempt from federal income tax,,2012,"2,568","23,604,410","8,343,791","2,045,571","191,515",N,N
Georgia,,,71,"Arts, entertainment, and recreation",,,All establishments,,2012,"2,733","3,780,027","1,262,168","284,396","42,851","36,427","737,156"
Georgia,,,71,"Arts, entertainment, and recreation",,,Establishments subject to federal income tax,,2012,"2,232","2,877,843","952,981","210,712","28,800",N,N
Georgia,,,71,"Arts, entertainment, and recreation",,,Establishments exempt from federal income tax,,2012,501,"902,184","309,187","73,684","14,051",N,N
Georgia,,,72,Accommodation and food services,,,Total,,2012,"18,815","18,976,611","5,173,397","1,253,983","353,638","13,691","453,365"
